LINHA;MES;DIA;JAB;CON;JUD;SAU;ARV;SCZ;VMN;ANR;PSO;VGO;JQM;LIB;PSE;BTO;LUZ;TRD;PPQ;TTE;CDU;SAN;JPA;PIG;TUC
1-Azul;Janeiro;1;56,2;4,5;2,6;4,1;1,8;18;2,2;2,9;3;4,1;3,5;3,7;1,9;2,5;14,4;2;4,1;32,5;1,6;8,6;1,4;2,1;10,1
1-Azul;Janeiro;2;70;15,7;8,9;15,4;8,2;56;8,5;10,4;11,1;14,6;10,7;16,5;8,5;34,2;75,7;5,9;11,6;55,8;6,3;27,8;5,4;6,9;31,4
1-Azul;Janeiro;3;65,1;19,1;10,8;18,6;10;66,6;10,6;12,8;13,7;18;13,2;17,9;10;43,3;89,8;7,2;13,5;47,7;7,9;33,2;6,7;8,3;39
1-Azul;Janeiro;4;57,3;19,9;11,1;19,3;10,5;68,6;11,2;13,5;14,1;18,8;14;18,8;10,4;45,5;103,6;7,8;14,1;41,9;7,6;35,1;7;9;41,1
1-Azul;Janeiro;5;57,8;18,6;11,5;20,5;10,4;72,2;11,5;14,2;14,4;18,4;14,6;21,3;11;47,9;102,2;8,2;14,4;40,9;7,9;37;7,4;9;41,8
1-Azul;Janeiro;6;43,2;8,9;6,9;13,9;7,2;49,1;5,8;10,9;9,9;10,5;9,6;30,3;7,1;34,3;67;6,2;9,4;34,5;4,6;24;4,4;5,5;27,9
1-Azul;Janeiro;7;38;7,2;4,6;7,9;4;29,5;4;5,9;6,3;7,9;5,8;20,3;3;5,5;27,5;4,9;5,7;28,9;3,2;13,8;2,6;3,4;15,9
1-Azul;Janeiro;8;65,8;22,3;12,5;24,5;12;80,9;12,9;15;16,9;21,7;17,1;18,7;13,3;51;115,1;10,1;15,9;45,7;8,7;40,1;8,3;10,5;46,1
1-Azul;Janeiro;9;62,8;25,1;13,2;23;12,8;83,8;13,8;16,3;17,3;21,7;17,8;20,8;14,1;53,5;125;11,6;17;42,5;9,3;42,7;9,1;11,2;48,4
1-Azul;Janeiro;10;62,8;25,5;13,3;23;13;84,1;14,1;16,9;17,5;22,4;18,1;21,2;14;51,3;124,5;10,5;16,1;41,7;9,3;42,9;9,4;11,5;49
1-Azul;Janeiro;11;61,4;24;13,3;23;13,2;82,6;14,1;16,7;17,3;21,7;17,3;20,3;13,4;50,2;122,3;10,5;15,9;40,7;9,1;42;9,2;11,2;48,2
1-Azul;Janeiro;12;61,3;21;12,5;22,2;12,9;82,1;11,3;16,1;16,2;20,4;16,6;19,6;13,1;48,7;115,9;10,5;16,7;42,4;8,9;41,6;8,5;10,7;46,8
1-Azul;Janeiro;13;40,9;11,8;7,2;14,5;7,8;50,1;8;10,9;10,5;11,1;10;25,2;7,1;32,1;67,1;6,8;10;32;4,5;24,6;4,8;5,7;28,2
1-Azul;Janeiro;14;34,6;8,4;4,9;8,9;4,5;34,4;5,8;6,3;6,5;8,3;9,9;20,9;3;5,8;30,4;5,1;6,8;29,5;2,9;16,7;2,9;3,8;16
1-Azul;Janeiro;15;65,1;23,3;12,9;22,3;12,7;82,6;13,8;15,5;16,8;21,2;17,6;19;13,6;51,3;123,5;11,7;16,7;45;8,8;42,7;9;11;48,2
