LINHA;MES;DIA;VPM;ORT;SLU;CAD;VTL;VUN;JPL;SAP;FJT;MAT;IGT
15-Prata;Janeiro;1;0,8;0,9;0,8;0,6;0,9;1;1;1,7;0,8;3,4;1,1
15-Prata;Janeiro;2;3,8;3,3;2,6;1,9;2,9;3,2;2,7;5,2;2,5;11;3,9
15-Prata;Janeiro;3;5,8;4,2;3,3;2,3;3,6;3,9;3,3;6,3;3;12,7;5
15-Prata;Janeiro;4;6,1;4,4;3,4;2,4;3,7;4,1;3,3;6,5;3,1;13,2;5,7
15-Prata;Janeiro;5;6,3;4,5;3,6;2,6;3,8;4,3;3,5;6,7;3,3;13,4;5,8
15-Prata;Janeiro;6;4,2;1,6;1,4;0,8;1,3;1,1;1,1;2;0,8;3,3;1,2
15-Prata;Janeiro;7;1,8;1,4;1,3;0,9;1,4;1,6;1,3;2,6;1,2;4,8;1,8
15-Prata;Janeiro;8;6,9;5,2;3,8;2,9;4,1;4,5;3,7;7,1;3,4;14,3;6,4
15-Prata;Janeiro;9;7,6;5,3;4;2,9;4,4;4,8;3,9;7,7;3,5;14,5;6,8
15-Prata;Janeiro;10;7,6;5,5;4,2;3;4,5;4,8;3,8;7,6;3,5;14,8;6,9
15-Prata;Janeiro;11;7,7;5,6;4,1;3;4,4;4,9;3,9;7,5;3,5;14,7;7,1
15-Prata;Janeiro;12;7,4;5,1;3,9;2,9;4,2;4,7;3,8;7,4;3,4;14,3;6,9
15-Prata;Janeiro;13;3,6;2,7;2,5;1,7;2,7;2,8;2,4;4,5;2;8,5;3,3
15-Prata;Janeiro;14;1,9;1,5;1,3;1;1,5;1,7;1,4;2,7;1,3;5,3;2,1
15-Prata;Janeiro;15;7;5,4;4,1;3,1;4,3;4,8;3,8;7,5;3,5;14,6;6,9
15-Prata;Janeiro;16;7,4;5,7;4,2;3,1;4,5;5;4;7,9;3,6;14,8;7,4
15-Prata;Janeiro;17;7,6;5,7;4,3;3,1;4,5;5;4;7,7;3,6;14,9;7,5
15-Prata;Janeiro;18;7,5;5,7;4,3;3,1;4,5;5;3,9;7,8;3,6;15,2;7,6
15-Prata;Janeiro;19;7,1;5,4;4,1;3;4,3;4,8;3,9;7,5;3,6;14,6;7,3
15-Prata;Janeiro;20;4,2;1,6;1,3;0,7;1,1;1;0,9;1,7;0,8;3;1
15-Prata;Janeiro;21;2;1,3;1,2;0,9;1,4;1,5;1,3;2,5;1,3;4,7;1,8
15-Prata;Janeiro;22;7,4;5,7;4,1;3;4,4;4,9;3,8;7,6;3,5;14,8;7,4
15-Prata;Janeiro;23;7,5;5,6;4;2,9;4,4;4,8;3,7;7,4;3,5;14,1;7,5
15-Prata;Janeiro;24;7,8;6,2;4,5;3,4;4,7;5,2;4,2;8,1;3,7;15,6;7,9
15-Prata;Janeiro;25;3;2,3;2;1,4;2,1;2,4;2;3,9;1,7;7,3;3,2
15-Prata;Janeiro;26;6,2;4,7;3,5;2,5;3,8;4,3;3,4;6,7;3,1;13,2;6,3
15-Prata;Janeiro;27;3,6;2,9;2,5;1,6;2,7;2,8;2,5;4,7;2,1;8,6;3,6
15-Prata;Janeiro;28;1,7;1,3;1,2;0,9;1,3;1,4;1,2;2,3;1,1;4,5;1,8
15-Prata;Janeiro;29;7,2;5,7;4,2;3;4,4;5;4,1;7,8;3,6;14,8;7,6
15-Prata;Janeiro;30;7,6;6,2;4,5;3,4;4,7;5,3;4,2;8,1;3,8;15,4;7,9
15-Prata;Janeiro;31;7,7;6,1;4,5;3,3;4,7;5,2;4;8;3,7;15,3;8,1
15-Prata;Fevereiro;1;7,9;6,1;4,6;3,3;4,7;5,3;4,3;8,1;3,8;15,5;8,4
15-Prata;Fevereiro;2;7,6;5,9;4,5;3,2;4,6;5,2;4,2;8,1;3,8;15,4;8,2
15-Prata;Fevereiro;3;4;3,2;2,7;1,9;3;3,1;2,8;5;2,3;9,2;3,9
15-Prata;Fevereiro;4;1,9;1,5;1,4;0,9;1,6;1,6;1,4;2,6;1,3;4,9;2,1
