LINHA;MES;DIA;VPT;TTI;SAC;AIP;IMG;CKB;ANR;PSO;BGD;TRI;CNS;CLI;SUM;VMD
2-Verde;Janeiro;1;2,3;11,6;6,9;2,1;1,8;12,1;1,2;1,4;6,9;7,4;15,7;2,7;1,2;2,7
2-Verde;Janeiro;2;8,9;40,4;22,9;9;8,6;47,5;5,8;6,3;31,5;25,7;53,2;11,6;5;10
2-Verde;Janeiro;3;11,3;49,8;27,3;11,6;10,7;57,9;7,2;7,7;37,4;31,3;64,4;14,3;6,3;12,6
2-Verde;Janeiro;4;12;51;28,7;11,7;11;60,2;7,6;7,9;38,9;33;69,2;15,4;6,5;13,3
2-Verde;Janeiro;5;12,2;51,9;29,5;12,1;11,2;60,4;8;8,1;39,2;32;69,8;15;6,5;13,7
2-Verde;Janeiro;6;16,3;31,4;19;7,4;6,6;33,6;3,6;3,1;22,8;18,4;43,1;5,4;3,5;8,5
2-Verde;Janeiro;7;4,1;19,8;11,5;4,5;3,9;19,7;2,4;3;17,2;15,3;31;3,6;2,3;5,2
2-Verde;Janeiro;8;13,9;57,4;32,2;13,2;12;67,3;8,4;9,5;42,7;37;77,8;18;7,6;15,4
2-Verde;Janeiro;9;15,1;59,9;34;14,4;12,6;71,5;9,2;9,7;47,6;40,9;85,4;18,5;8,3;17,1
2-Verde;Janeiro;10;15,3;60,7;34,2;14,8;12,8;72,7;9,5;9,9;47,3;40,5;85,9;18,7;8,6;17,4
2-Verde;Janeiro;11;15,3;60,9;34,1;14,5;12,9;72,2;9,4;9,7;46,8;40,3;84,4;17,9;8,7;17,5
2-Verde;Janeiro;12;14,1;60,5;32,6;13,4;12,1;67,8;9,1;9,1;42,9;35,9;78;17,3;7,9;15,8
2-Verde;Janeiro;13;7,9;34,3;19,8;7,8;6,9;33,7;3,6;3,3;21,8;17,8;34,9;5,5;4;9,1
2-Verde;Janeiro;14;4,6;20,8;13,5;4,6;3,9;21,1;2,6;3;16,7;17;32,1;3,9;2,4;5,9
2-Verde;Janeiro;15;14,5;64,5;33,9;14,2;12,7;69,8;8,7;9,5;43;38;79,4;18,2;8,3;16,7
2-Verde;Janeiro;16;15,7;67,7;35,7;15,2;13,3;75,3;9,7;10,1;48,9;42,2;87,1;18,9;9;18,5
2-Verde;Janeiro;17;15,8;67,8;35,6;15,5;13,4;75,4;9,7;10,2;47,7;41,7;87,3;19;8,9;18,5
2-Verde;Janeiro;18;15,9;67,5;35,9;15,2;13,5;74,2;10,2;10,1;48,1;40,9;87,8;19;9,2;18,7
