LINHA;MES;DIA;ITQ;ART;PCA;VPA;VTD;PEN;CAR;TAT;BEL;BRE;BAS;PDS;PSE;GBU;REP;CEC;DEO;BFU
3-Vermelha;Janeiro;1;18,2;10,3;3,6;3,5;4,3;4,8;5,7;23;6,2;5,4;10,1;5,4;2,8;6,7;22,3;4,6;4,2;34,3
3-Vermelha;Janeiro;2;46,9;33,2;12,3;11,9;14,4;15,5;22,1;71,2;21,8;17,3;34;10,6;12,2;30,7;72,9;13,8;14,9;87,7
3-Vermelha;Janeiro;3;54,7;39,7;15;14,2;17,9;18,9;27,2;84,5;26,3;20,7;40,2;11,7;14,3;37,7;87,7;16,9;18,1;107,7
3-Vermelha;Janeiro;4;56,9;41,3;16,2;14,9;18,7;19,6;28,9;88,8;27,4;21,3;40,6;12;14,9;39,2;91,9;17;19;105,3
3-Vermelha;Janeiro;5;59,5;42,9;16,3;15,6;18,5;20,3;30,3;94,5;28,4;23,1;44,2;13,3;15,9;40,4;96,4;18;19,8;108,3
3-Vermelha;Janeiro;6;40,1;28,3;10,3;10,1;12,2;13,2;19;67,4;18;17;33,8;8,9;9;20,4;60,3;11,5;12,2;75,4
3-Vermelha;Janeiro;7;26,4;16,1;5,8;5,4;7,6;7,9;10;40,3;12,1;9,1;16,6;6,8;4,5;10,2;34,1;8,4;7,4;48,9
3-Vermelha;Janeiro;8;62,6;45,8;17,6;16,7;21,4;22,1;33,5;99,5;30,4;25;49,9;11,7;19,2;43,7;102,4;18,9;17,8;120,9
3-Vermelha;Janeiro;9;64,9;48,1;18,6;17,8;22,8;23,4;36;105,1;33,9;26,5;52;15,3;20,2;46,2;111,8;20;22,2;126,5
3-Vermelha;Janeiro;10;64,9;48,1;18,5;18,1;23;23,6;36,2;103,5;33,7;26,1;51,7;14,3;20,1;46,7;112,4;20,4;22,7;128,8
3-Vermelha;Janeiro;11;64,2;48,5;18,9;17,9;22,9;23,2;36,6;102,5;33,3;26,3;48,8;13,7;19,3;45,5;110;19,8;22,6;118,1
3-Vermelha;Janeiro;12;64,9;48,2;18,3;17,6;22,1;23;34,9;98,8;32,7;25,7;46,9;14,4;18,9;44,4;107,2;19,2;22;120,1
3-Vermelha;Janeiro;13;42,3;29,3;10,9;10,4;13;14;20,3;69,7;18,5;18,5;36,3;8,9;9;20,2;61,2;12;13;77,7
3-Vermelha;Janeiro;14;30,1;18;6,2;6,4;8;8,7;14,2;42,1;13,9;12,3;18,3;8,3;4,5;11,5;39,7;8,5;8,8;64,5
3-Vermelha;Janeiro;15;65,1;47,7;18,4;17,7;22,6;23;36,3;99,1;31,8;25,9;49,5;13,4;19,6;45,3;105,9;19,7;22,2;126,1
3-Vermelha;Janeiro;16;67,3;50,1;19,2;18,6;23,7;24,2;37,6;107,3;35;26,6;50,5;15,4;19,8;47,6;113;20,8;23,2;137,5
3-Vermelha;Janeiro;17;66,5;49,5;19,2;18,7;23,7;24,2;38,5;106;35,2;26;48,3;14,3;19,4;47,1;112,5;20,7;23,5;132,2
3-Vermelha;Janeiro;18;67,3;49,7;19,8;18,7;23,9;24;37,9;106,5;34,5;25,5;48,3;14,3;19,5;47,7;112,7;20,4;23,7;131,3
3-Vermelha;Janeiro;19;66,1;49,3;19;18,4;23,4;23,8;37,5;108;34;25,6;48,6;14,9;19,4;46,2;109,5;20,1;23,6;135
3-Vermelha;Janeiro;20;44,3;30,6;11,3;10,8;13,2;14,3;22,7;70,4;19,4;16,7;35,7;9,5;9,2;19,7;64,9;12,4;13,6;93,6
3-Vermelha;Janeiro;21;37,7;17,9;6;5,9;7,8;7,9;11,4;41,1;11,9;11,1;16,3;6,1;4,1;10,6;37,2;8,2;10,4;66,7
