estacaoId,nomeEstacao,quantidade_passageiro,densidade_passageiro,linha_referencia
1,Luz,1878089,9.8,7
2,Brás,1185328,8.5,7
3,Tatuapé,1208779,7.2,12
4,Corinthians Itaquera,1089315,8.0,3
5,Dom Bosco,470204,5.4,11
6,José Bonifácio,438996,4.8,11
7,Guaianazes,1887116,9.5,11
8,Antonio Gianetti Neto,370919,4.2,11
9,Ferraz de Vasconcelos,666634,6.1,11
10,Poá,325318,4.0,11
11,Calmon Viana,161811,2.7,12
12,Suzano,975114,7.5,11
13,Jundiapeba,195425,3.8,11
14,Brás Cubas,195533,3.6,11
15,Mogi das Cruzes,297006,4.1,11
16,Estudantes,375526,4.5,11
17,Brás,321248,4.9,10
18,Luz,1217396,7.8,1
19,Barra Funda,3413957,9.9,3
20,Água Branca,202378,3.2,8
21,Lapa,748135,6.0,8
22,Piqueri,223779,4.3,8
23,Pirituba,423517,5.7,8
24,Vila Clarice,99284,3.0,8
25,Jaraguá,428617,5.6,8
26,Vila Aurora,254131,4.2,8
27,Perus,548289,5.9,8
28,Caieiras,299085,4.8,8
29,Franco da Rocha,503707,6.3,8
30,Baltazar Fidelis,219768,3.5,8
31,Francisco Morato,775605,6.5,8
32,Botujuru,50047,2.5,8
33,Campo Limpo Paulista,108008,3.0,8
34,Várzea Paulista,60991,2.8,8
35,Jundiaí,325345,5.4,8
36,Mooca,244071,4.4,10
37,Ipiranga,286674,4.8,10
38,Tamanduateí,1729374,9.1,10
39,São Caetano,715263,6.7,10
40,Utinga,206467,4.1,10
41,Prefeito Saladino,203862,3.9,10
42,Santo André,1349757,8.4,10
43,Capuava,170006,3.5,10
44,Mauá,1174678,8.7,10
45,Guapituba,192580,4.0,10
46,Ribeirão Pires,384373,5.3,10
47,Rio Grande da Serra,227615,4.4,10
48,Tatuapé,655199,7.0,12
49,Engenheiro Goulart,170414,3.9,13
50,USP Leste,138813,3.4,13
51,Comendador Ermelino,215184,4.2,13
52,São Miguel Paulista,444842,5.9,13
53,Jardim Helena - Vila Mara,403217,5.3,13
54,Itaim Paulista,763800,7.1,13
55,Jardim Romano,472869,5.6,13
56,Engenheiro Manoel Feio,235139,4.3,13
57,Itaquaquecetuba,466795,5.8,13
58,Aracaré,169598,3.7,13
59,Calmon Viana,45972,2.0,12
60,Guarulhos-Cecap,27834,1.8,13
61,Aeroporto-Guarulhos,431242,6.0,13
62,Jabaquara,870000,7.5,1
63,São Judas,540000,6.2,1
64,Paraíso,1350000,8.7,1
65,Liberdade,860000,7.3,1
66,Sé,2100000,10.0,1
67,Anhangabaú,1250000,8.5,3
68,República,1400000,9.0,3
69,Santa Cecília,980000,7.4,3
70,Palmeiras-Barra Funda,1700000,9.5,3
71,Bresser-Mooca,380000,5.1,3
72,Penha,950000,7.7,3
73,Arthur Alvim,730000,6.9,3
74,Vila Matilde,800000,7.1,3
75,Vila Prudente,1200000,8.6,2
76,Sacomã,870000,7.4,2
77,Chácara Klabin,740000,7.0,2
78,Brigadeiro,930000,7.5,2
79,Consolação,1500000,9.2,2
80,Paulista,1350000,8.8,4
81,Fradique Coutinho,520000,6.0,4
82,Pinheiros,1250000,9.1,4
83,Butantã,980000,7.5,4
84,São Paulo-Morumbi,720000,6.8,4
85,Campo Belo,670000,6.6,5
86,Brooklin,820000,7.1,5
87,Borba Gato,640000,6.3,5
88,Alto da Boa Vista,530000,5.9,5
89,Adolfo Pinheiro,500000,5.7,5
90,Santo Amaro,1600000,9.4,5
91,Largo Treze,940000,7.5,5
92,Cidade Jardim,370000,5.0,9
93,Hebraica-Rebouças,380000,5.2,9
94,Vila Olímpia,600000,6.5,9
95,Berrini,780000,7.2,9
96,Morumbi,910000,7.3,9
97,Giovanni Gronchi,470000,5.4,5
98,Capão Redondo,970000,7.8,5
99,Vila União,450000,5.3,15
100,São Lucas,400000,4.8,15
101,Oratório,410000,4.9,15
102,Camilo Haddad,370000,4.5,15
103,Vila Tolstói,340000,4.3,15
104,Vila Prudente,1250000,9.0,15
